Topic,CTP2-T1,CTP2-T2,CTP2-T3,CTP2-T4,CTP2-T5,CTP2-T6,CTP2-T7,CTP2-T8,CTP2-T9,CTP2-T10,CTP2-T11,CTP2-T12,CTP2-T13,CTP2-T14,CTP2-T15,CTP2-T16,CTP2-T17,CTP2-T18,CTP2-T19,CTP2-T20,CTP2-T21,CTP2-T22,CTP2-T23,CTP2-T24,CTP2-T25,CTP2-T26,CTP2-T27,CTP2-T28,CTP2-T29,CTP2-T30,CTP2-T31,CTP2-T32,CTP2-T33,CTP2-T34,CTP2-T35,CTP2-T36,CTP2-T37,CTP2-T38,CTP2-T39,Divergence,DivergenceTNo,CTP2-T1,CTP2-T2,CTP2-T3,CTP2-T4,CTP2-T5,CTP2-T6,CTP2-T7,CTP2-T8,CTP2-T9,CTP2-T10,CTP2-T11,CTP2-T12,CTP2-T13,CTP2-T14,CTP2-T15,CTP2-T16,CTP2-T17,CTP2-T18,CTP2-T19,CTP2-T20,CTP2-T21,CTP2-T22,CTP2-T23,CTP2-T24,CTP2-T25,CTP2-T26,CTP2-T27,CTP2-T28,CTP2-T29,CTP2-T30,CTP2-T31,CTP2-T32,CTP2-T33,CTP2-T34,CTP2-T35,CTP2-T36,CTP2-T37,CTP2-T38,CTP2-T39,Self Diff,Average,FinalScoreAbsoluteDifferences,Max Similarity,EntropyChange
"CTP1-T01: complex, applic, classic",0.408763596,0.158129856,0.111561191,0,0.139336473,0.110690641,0.102869865,0.109788335,0.116672586,0.117852497,0.144238796,0.155358786,0.141719542,0.125528301,0.14954917,0.052605369,0.197290102,0.114173616,0.130100184,0,0.153702203,0,0,0,0.121604115,0.171021197,0,0,0.098558185,0.128351523,0,0,0,0,0.071410219,0,0,0,0,0.408763596,CTP2-T4,2.22045E-16,0.288653935,0.590099323,0.822235919,0.409189527,0.350051719,0.514600166,0.537988701,0.54918185,0.464957226,0.227047669,0.572307635,0.445621824,0.42542496,0.560211637,0.632961991,0.406788593,0.303620742,0.40182833,0.674019872,0.38581231,0.447489881,0.610295701,0.652346474,0.319527003,0.177456688,0.563386931,0.548909582,0.519554328,0.029578732,0.680108253,0.471348754,0.44818516,0.561674755,0.127333335,0.748317528,0.45738252,0.649486595,0.503491493,2.22045E-16,0.475749412,0.475749412,0.408763596,79.29090912
"CTP1-T02: base, compar, classic",0.508328241,0.207370945,0.148230995,0.010775337,0.181300063,0.151513613,0.131127698,0.14861019,0.156097133,0.156962825,0.190074403,0.205924733,0.187368876,0.170147938,0.197593532,0.065418729,0.256962444,0.147909602,0.171006301,0.00900767,0.201973037,0.006971649,0,0.008399839,0.159250793,0.217832395,0.010072545,0.007779271,0.13344407,0.159614762,0.011056906,0,0,0,0.088803972,0,0,0.004745762,0,0.508328241,CTP2-T23,0.288653935,0,0.119411106,0.369819284,0.18637791,0.091910842,0.055684941,0.006688631,0.276037317,0.104915027,0.302047782,0.105708722,0.086155855,0.110890934,0.1246463,0.316182397,0.110089944,0.470756015,0.063877445,0.471998846,0.072654229,0.372346601,0.611069318,0.545217466,0.434686999,0.34979672,0.505487232,0.522548731,0.096915841,0.008011573,0.106338374,0.42664012,0.417726598,0.508834338,0.014355233,0.613924192,0.376999981,0.597621105,0.419071773,0,0.28058157,0.28058157,0.508328241,39.74125423
"CTP1-T03: base, complex, classic",0.379256592,0.176917809,0.130251548,0.030345629,0.151877558,0.141737204,0.104459618,0.135883406,0.139245705,0.138646165,0.163967629,0.179978691,0.162833751,0.156017976,0.17147229,0.048807999,0.215765523,0.122621124,0.146665651,0.025367506,0.173114516,0.019633638,0,0.023655726,0.135431563,0.173192556,0.02836642,0.021908073,0.122082816,0.119086342,0.031138589,0,0,0,0.066255401,0,0,0.013365071,0,0.379256592,CTP2-T23,0.590099323,0.119411106,3.33067E-16,0.244800533,0.221138142,0.00032752,0.0196065,0.062291043,0.337670535,0.38623206,0.015531724,0.263130153,0.316292519,0.228085357,0.38755092,0.200910156,0.236104395,0.00197899,0.394511155,0.160051811,0.454029667,0.337986267,0.559292051,0.414143932,0.364563486,0.254933942,0.500728571,0.296726599,0.333444024,0.121734975,0.24462815,0.536084124,0.509745683,0.532783689,0.003733533,0.752952028,0.127338987,0.60027208,0.548812239,3.33067E-16,0.30735942,0.30735942,0.379256592,-19.97150567
"CTP1-T04: base, cryptographi, complex",0.460707917,0.201844267,0.14665257,0.02373156,0.174716436,0.155285322,0.122992739,0.150345141,0.155738538,0.155743392,0.1861396,0.203125457,0.184241412,0.172410615,0.194140608,0.059290285,0.247947147,0.141734111,0.279777753,0.019838458,0.30996353,0.015354332,0,0.018499774,0.26938109,0.204106668,0.022183735,0.017133036,0.135043739,0.144662009,0.024351688,0,0,0,0.080484792,0,0,0.010452048,0,0.460707917,CTP2-T23,0.822235919,0.369819284,0.244800533,0,0.184046879,0.200818793,0.4046889,0.183105541,0.22111241,0.373619093,0.228892448,0.318532842,0.387333257,0.201784874,0.187183826,0.364159864,0.331424344,0.179009131,0.334172642,0.110353727,0.418850148,0.04313748,0.193090067,0.152408514,0.250120464,0.039273219,0.209089519,0.040457858,0.409040705,0.016340555,0.196376693,0.300836793,0.278334922,0.206469676,0.004063338,0.483556754,0.056313035,0.55367175,0.350869173,0,0.259194604,0.259194604,0.460707917,61.91451397
"CTP1-T05: base, complex, compar",0.410721601,0.191294905,0.140791441,0.032560946,0.164252938,0.153107536,0.113036293,0.146818054,0.150489442,0.149857039,0.177270931,0.194553627,0.17603099,0.168567989,0.185372537,0.052857352,0.233340571,0.13262812,0.158575176,0.027219406,0.187173037,0.02106695,0,0.025382661,0.273007367,0.187416853,0.030437249,0.132977864,0.247861056,0.226472617,0.126175744,0.084651698,0.132095986,0.112048045,0.273729318,0.108401055,0.023407484,0.014340759,0.108409341,0.410721601,CTP2-T23,0.409189527,0.18637791,0.221138142,0.184046879,1.11022E-16,0.059894566,0.433095817,0.253259827,0.188646577,0.268904991,0.12064122,0.221833344,0.184613002,0.308485482,0.166622738,0.092729273,0.096975343,0.026328344,0.297064454,0.193736469,0.312552086,0.354191151,0.415977155,0.412741552,0.343274129,0.151810891,0.441434151,0.360265584,0.400972019,0.053950333,0.274704047,0.37697518,0.368468311,0.494260967,0.380653901,0.663263829,0.205550546,0.520322554,0.404429142,1.11022E-16,0.285510038,0.285510038,0.410721601,61.78454434
"CTP1-T06: base, complex, cryptographi",0.320568596,0.163760402,0.122686881,0.039936795,0.139015211,0.138183018,0.092539618,0.130873193,0.132290994,0.130986547,0.152785072,0.168999187,0.152393284,0.150495996,0.160341993,0.041255213,0.197780384,0.111503585,0.350615168,0.033385266,0.375162583,0.025839128,0,0.031132454,0.34296182,0.153226494,0.037332029,0.028832431,0.117616321,0.100658346,0.040980381,0,0,0,0.056002721,0,0,0.017589291,0,0.375162583,CTP2-T23,0.350051719,0.091910842,0.00032752,0.200818793,0.059894566,3.33067E-16,0.259819031,0.15339109,0.196921873,0.176097212,0.14528554,0.092334827,0.185597997,0.005784208,0.038799735,0.166436278,0.006954489,0.006323742,0.175437385,0.280086761,0.381750813,0.350857217,0.432112708,0.369903834,0.338056903,0.06869749,0.388642338,0.178467997,0.351705387,0.073755094,0.26521807,0.548575855,0.492820042,0.397914973,0.104661018,0.453566694,0.087836587,0.643532841,0.576241751,3.33067E-16,0.239383979,0.239383979,0.375162583,217.9164581
"CTP1-T07: base, compar, cryptographi",0.371772331,0.16662207,0.121656054,0.022910152,0.143788972,0.130145452,0.100367083,0.125537381,0.129514838,0.129308837,0.153941387,0.168353721,0.15255874,0.144028566,0.160717233,0.04784482,0.204136713,0.116441358,0.25770278,0.0191518,0.282631819,0.014822881,0,0.017859452,0.37365812,0.166504271,0.021415902,0.124053331,0.226652684,0.21249934,0.114614319,0.083138283,0.129734356,0.110044835,0.263313982,0.106463046,0.022989002,0.010090277,0.106471184,0.37365812,CTP2-T23,0.514600166,0.055684941,0.0196065,0.4046889,0.433095817,0.259819031,2.22045E-16,0.284378868,0.416540035,0.307741112,0.195733747,0.096586187,0.221905066,0.330937087,0.45376971,0.216816308,0.045867331,0.089086615,0.610217872,0.347832637,0.670825242,0.725043368,0.607662867,0.751605804,0.654574993,0.208318162,0.621581568,0.678030512,0.597326283,0.077982622,0.551513688,0.652703271,0.630660529,0.793303756,0.384706712,0.79510827,0.381915061,0.83892223,0.696791529,2.22045E-16,0.437460116,0.437460116,0.37365812,41.95722582
"CTP1-T08: base, compar, complex",0.464784286,0.217360074,0.160107516,0.037736384,0.186535739,0.174405103,0.128179357,0.1671407,0.171206678,0.17044137,0.201488331,0.221212819,0.200120457,0.191915665,0.210731895,0.059814889,0.265013848,0.15057496,0.289246897,0.031545827,0.321767316,0.024415461,0,0.029417139,0.39741034,0.212511772,0.035275134,0.13125421,0.260338271,0.238584935,0.126859622,0.080429515,0.125507418,0.106459411,0.273099932,0.102994322,0.022239986,0.016620168,0.103002195,0.464784286,CTP2-T23,0.537988701,0.006688631,0.062291043,0.183105541,0.253259827,0.15339109,0.284378868,0,0.203597138,0.448164823,0.323420915,0.284527873,0.34155746,0.437216394,0.270992602,0.272400538,0.166907414,0.072377912,0.404213411,0.126536858,0.521115467,0.442729498,0.410037646,0.432276492,0.365671107,0.176497586,0.34804796,0.3924042,0.553466613,0.151041959,0.499209382,0.490021017,0.443943389,0.596075835,0.37996429,0.67681292,0.267163248,0.724526023,0.525134314,0,0.348135684,0.348135684,0.464784286,18.11140469
"CTP1-T09: base, complex, classic",0.364273363,0.177494247,0.131805079,0.036748472,0.151538554,0.145916511,0.102591172,0.139037293,0.141508982,0.140508704,0.165040192,0.181845022,0.164252597,0.159761899,0.172894073,0.046879749,0.215437051,0.121957473,0.147373658,0.030719979,0.173917551,0.023776281,0,0.028647018,0.188703113,0.169986756,0.034351655,0.072336915,0.173454558,0.15518169,0.076524458,0.035421261,0.055273628,0.046884861,0.14815219,0.045358832,0.009794518,0.016185063,0.045362299,0.364273363,CTP2-T23,0.54918185,0.276037317,0.337670535,0.22111241,0.188646577,0.196921873,0.416540035,0.203597138,2.22045E-16,0.478267022,0.141438987,0.420062256,0.394838542,0.325965328,0.170628218,0.207640592,0.089030802,0.08187437,0.152424588,0.219876126,0.182889738,0.250023321,0.463113259,0.400380124,0.396234871,0.216177113,0.376275893,0.229634604,0.398263273,0.022214078,0.223844671,0.246791904,0.280265736,0.406709864,0.089629196,0.531444896,0.015756305,0.409132077,0.303095223,2.22045E-16,0.276674492,0.276674492,0.364273363,163.0283328
"CTP1-T10: base, challeng, complex",0.39534503,0.183703324,0.135139842,0.030910003,0.157781977,0.146819869,0.108676123,0.140837257,0.144414252,0.143829641,0.170205258,0.186759884,0.168994609,0.161694196,0.177966869,0.050878482,0.224139099,0.127425248,0.152268988,0.025839296,0.179731432,0.019998789,0,0.02409568,0.206740634,0.180193727,0.028893984,0.079489855,0.187092808,0.17506378,0.080166559,0.044211974,0.068991224,0.058520566,0.174554792,0.056615812,0.012225284,0.013613637,0.056620139,0.39534503,CTP2-T23,0.464957226,0.104915027,0.38623206,0.373619093,0.268904991,0.176097212,0.307741112,0.448164823,0.478267022,1.11022E-16,0.093374692,0.076139636,0.156893998,0.026749519,0.342767244,0.004803297,0.094142993,0.010212399,0.479024723,0.328732198,0.396969583,0.474988201,0.552349929,0.546276712,0.31867224,0.080541989,0.567701511,0.391804306,0.243461441,0.061828899,0.290359273,0.574649167,0.520002662,0.668828993,0.200495755,0.756192105,0.183030418,0.54705944,0.560281842,1.11022E-16,0.330453519,0.330453519,0.39534503,374.2007504
