Topic,CTP3-T1,CTP3-T2,CTP3-T3,CTP3-T4,CTP3-T5,CTP3-T6,CTP3-T7,CTP3-T8,CTP3-T9,CTP3-T10,CTP3-T11,CTP3-T12,CTP3-T13,CTP3-T14,CTP3-T15,CTP3-T16,CTP3-T17,CTP3-T18,CTP3-T19,CTP3-T20,CTP3-T21,CTP3-T22,CTP3-T23,CTP3-T24,CTP3-T25,CTP3-T26,CTP3-T27,CTP3-T28,CTP3-T29,CTP3-T30,CTP3-T31,CTP3-T32,CTP3-T33,CTP3-T34,CTP3-T35,CTP3-T36,CTP3-T37,CTP3-T38,CTP3-T39,Divergence,DivergenceTNo,Abs-CTP3-T1,Abs-CTP3-T2,Abs-CTP3-T3,Abs-CTP3-T4,Abs-CTP3-T5,Abs-CTP3-T6,Abs-CTP3-T7,Abs-CTP3-T8,Abs-CTP3-T9,Abs-CTP3-T10,Abs-CTP3-T11,Abs-CTP3-T12,Abs-CTP3-T13,Abs-CTP3-T14,Abs-CTP3-T15,Abs-CTP3-T16,Abs-CTP3-T17,Abs-CTP3-T18,Abs-CTP3-T19,Abs-CTP3-T20,Abs-CTP3-T21,Abs-CTP3-T22,Abs-CTP3-T23,Abs-CTP3-T24,Abs-CTP3-T25,Abs-CTP3-T26,Abs-CTP3-T27,Abs-CTP3-T28,Abs-CTP3-T29,Abs-CTP3-T30,Abs-CTP3-T31,Abs-CTP3-T32,Abs-CTP3-T33,Abs-CTP3-T34,Abs-CTP3-T35,Abs-CTP3-T36,Abs-CTP3-T37,Abs-CTP3-T38,Abs-CTP3-T39,Self Diff,Average,FinalScoreAbsoluteDifferences,Max Similarity,EntropyChange
"CTP2-T01: applic, process, communic",0,0,0,0,0,0,0,0,0,0,0,0,0.225487389,0,0,0,0.256061238,0,0,0,0,0,0,0,0,0.326190547,0,0,0,0.178235303,0,0,0,0,0.114602128,0,0,0,0,0.326190547,CTP3-T1,2.22045E-16,0.067826912,0.112270321,0.138867003,0.340872999,0.270793784,0.074789721,0.268586381,0.137528623,0.065782857,0.18268166,0.230111224,0.203490864,0.160772467,0.251051314,0.045074693,0.316679429,0.195262269,0.175166695,0,0.224151407,0,0,0,0.297492527,0.418386565,0,0,0.241112922,0.167102405,0,0,0,0,0.174698088,0,0.303945852,0,0,2.22045E-16,0.133276289,0.133276289,0.326190547,26.68507326
"CTP2-T02: function, model, system",0.139212691,0.231637223,0.264381682,0.300090951,0.343941388,0.286390258,0.326616688,0.165051733,0.341622497,0.344143353,0.343691303,0.329307609,0.438535277,0.469652943,0.251760663,0.489380854,0.447803769,0.412862615,0.182326019,0,0.173388551,0.066951388,0.06768014,0.059943437,0,0.286568346,0,0.066507736,0.173744386,0.236471245,0.176181172,0,0,0.077079722,0.044333738,0,0.116024148,0,0,0.489380854,CTP3-T20,0.067826912,2.22045E-16,0.155884738,0.016535787,0.154187536,0.130893785,0.20859478,0.238595174,0.229423144,0.264011295,0.268010016,0.419869781,0.122365563,0.212769736,0.177447469,0.225005504,0.332418324,0.553287474,0.261608248,0.001565562,0.270818016,0.081893058,0.034731688,0.114935462,0.042743369,0.247466834,0.051912859,0.071143653,0.414553095,0.254055967,0.349557448,0.100466303,0,0.006075592,0.069597315,0,0.332892305,0.055090048,0,2.22045E-16,0.172058785,0.172058785,0.489380854,19.95350134
"CTP2-T03: function, model, base",0.108327565,0.402778167,0.392955164,0.343737804,0.468543975,0.442402105,0.393246862,0.423612388,0.398049619,0.382726432,0.299115905,0.291465406,0.369217154,0.412973313,0.213590233,0.430460363,0.369883772,0.357418142,0.250553,0.068405097,0.1510796,0.067387743,0.068121246,0.116459947,0.055135784,0.231407433,0,0.0669412,0.151299537,0.203830545,0.083247762,0,0.075386967,0.077582089,0.031277614,0,0.102063747,0,0,0.468543975,CTP3-T27,0.112270321,0.155884738,0,0.248903805,0.23027353,0.175957542,0.122787643,0.301396837,0.106830585,0.070967463,0.058968463,0.092487926,0.019446601,0.138968871,0.030599397,0.145238127,0.016150009,0.115522047,0.009100419,0.122383628,0.080327894,0.133593238,0.214106059,0.151550965,0.036504967,0.165563626,0.13527169,0.06715986,0.327186914,0.169193099,0.08851121,0.003900945,0.097389333,0.092385684,0.023106375,0.045858889,0.043414449,0.060350921,0.088616936,0,0.113108711,0.113108711,0.468543975,14.43422686
"CTP2-T04: key, effici, function",0,0.226498905,0.181805485,0.330214952,0.259599011,0.441953629,0.103501336,0.302193435,0.279229188,0.073498945,0.114212196,0.093618006,0.132367217,0.239941879,0.384146754,0.251872072,0.195381592,0.251014473,0.253215339,0.306164999,0.251225183,0.278977739,0.295572464,0.312013578,0.256338562,0.340639379,0.266467206,0.292108768,0.164302704,0.101862552,0.044570207,0.306748486,0.376716751,0.302732217,0.04006278,0.244845455,0.201122449,0.129438796,0.253382225,0.441953629,CTP3-T1,0.138867003,0.016535787,0.248903805,1.11022E-16,0.075641144,0.138847345,0.071425442,0.125984989,0.083553783,0.048498984,0.17173249,0.188126161,0.123362208,0.177403025,0.054454522,0.20782775,0.049156742,0.010886694,0.07796068,0.340334079,0.053953137,0.107842276,0.033517991,0.061831484,0.017847853,0.123419536,0.134342352,0.120046543,0.28696826,0.269291839,0.305846764,0.001232061,0.090320693,0.114824504,0.039361833,0.07651822,0.084878032,0.071697134,0.101657564,1.11022E-16,0.116971071,0.116971071,0.441953629,-17.11804078
"CTP2-T05: function, base, effici",0,0.195620514,0.157010932,0.186154885,0.411900731,0.295186617,0.088923907,0.163799676,0.210976245,0.06314714,0.098126218,0.080432574,0.190586796,0.194572122,0.239122826,0.221039687,0.266318674,0.215660865,0.111204098,0.038457457,0.12336899,0.146699979,0.153840647,0.246430264,0.20417845,0.218141624,0.128767886,0.12448317,0.235951054,0.192726146,0.111041688,0.114715225,0.232401602,0.131212862,0.039064771,0.101095211,0.134443152,0.125458846,0.109153944,0.411900731,CTP3-T1,0.340872999,0.154187536,0.23027353,0.075641144,0,0.107142409,0.151234106,0.136371861,0.115286068,0.166373738,0.157708112,0.135332424,0.244528323,0.106042153,0.130142623,0.003082561,0.283588143,0.129329696,0.197648275,0.190626603,0.222952043,0.008206629,0.035132642,0.02211124,0.107745703,0.234336041,0.02445721,0.073283307,0.29389123,0.3746019,0.194825285,0.050067526,0.12712177,0.140091798,0.059549861,0.099221927,0.091122003,0.022282181,0.140135969,0,0.14148812,0.14148812,0.411900731,-15.50230515
"CTP2-T06: function, protocol, base",0.05010831,0.293119144,0.24642699,0.223767976,0.244134108,0.557664787,0.149034283,0.215915305,0.349924269,0.129412133,0.15837803,0.132364833,0.231472334,0.307870897,0.360771637,0.278315826,0.319924499,0.2775428,0.200429824,0.368218783,0.203647351,0.166134575,0.119874542,0.120273011,0,0.258679897,0.17566984,0.231991311,0.042342765,0.124700282,0.041366423,0.230060944,0.180306641,0.181217095,0.096935969,0.196821346,0.237699811,0.130087876,0.196533254,0.557664787,CTP3-T25,0.270793784,0.130893785,0.175957542,0.138847345,0.107142409,2.22045E-16,0.088766149,0.048870617,0.228862463,0.12156123,0.156632783,0.196331344,0.100776717,0.023604006,0.183686327,0.156767803,0.207550593,0.126692219,0.382518652,0.117096794,0.250016229,0.01323793,0.17879243,0.061575128,0.119181796,0.163804692,0.069280962,0.028727147,0.423378298,0.351750173,0.325294133,0.014246012,0.014338947,0.10039441,0.108365216,0.12026278,0.018459271,0.134775021,0.024164998,2.22045E-16,0.144299951,0.144299951,0.557664787,-3.525414737
"CTP2-T07: base, applic, function",0.171246425,0.337540455,0.365385806,0.376394357,0.398973921,0.269221292,0.444674436,0.353904537,0.441330109,0.459745982,0.336967475,0.334696184,0.389453302,0.379666451,0.217529242,0.408098262,0.419303087,0.319456676,0.321566216,0.039908362,0.213198095,0.082273801,0.083169336,0.07366202,0,0.167213955,0,0.081728616,0.086796299,0.194832557,0.101637324,0,0,0.094720094,0.028840889,0,0.081327819,0,0,0.459745982,CTP3-T25,0.074789721,0.20859478,0.122787643,0.071425442,0.151234106,0.088766149,0,0.022865999,0.3392645,0.163643014,0.058236454,0.015039499,0.093444959,0.058770865,0.089790134,0.215036877,0.134757947,0.085224354,0.061920163,0.092031938,0.028663488,0.215990966,0.199904519,0.125120927,0.073937298,0.021143234,0.071189545,0.109132669,0.227861521,0.26053868,0.019148499,0.053552989,0,0.062313788,0.0439647,0,0.011154148,0.147493205,0,0,0.100493019,0.100493019,0.459745982,11.71076148
"CTP2-T08: function, model, base",0,0.276919413,0.256760424,0.366206771,0.396074084,0.412986886,0.255493194,0.474234748,0.269752524,0.22252203,0.170230797,0.170812833,0.249742645,0.314249608,0.209785227,0.31728992,0.271393521,0.261026972,0.256126435,0.129389004,0.155304506,0.171164327,0.213712243,0.204343736,0.126951301,0.272610709,0.108338391,0.152777382,0.054521478,0.173074895,0.063843934,0.143210499,0.220573907,0.199851456,0.030780571,0.111554062,0.085057569,0,0.114556513,0.474234748,CTP3-T1,0.268586381,0.238595174,0.301396837,0.125984989,0.136371861,0.048870617,0.022865999,0,0.120049486,0.086568339,0.021543747,0.032770286,0.042184713,0.014883139,0.169518011,0.097598488,0.301437921,0.098362387,0.186546145,0.259682545,0.194429142,0.025559912,0.108798548,0.092105147,0.104531805,0.092339584,0.114943457,0.090662025,0.350677018,0.313084494,0.170671366,0.010417903,0.088695764,0.027420614,0.046921527,0.048959578,0.097204642,0.001629958,0.079962793,0,0.121916641,0.121916641,0.474234748,-5.832150674
"CTP2-T09: function, effici, base",0,0.186820054,0.149907842,0.218858569,0.389017239,0.413397636,0.082908462,0.156320236,0.326017827,0.058875418,0.091488263,0.074991542,0.170391538,0.214494976,0.357117137,0.206515334,0.253920613,0.20107203,0.210576747,0.259948791,0.221538411,0.240678261,0.213861855,0.291404923,0.103053908,0.213880784,0.232417093,0.268759418,0.098754841,0.167493506,0.093019019,0.233662883,0.295955104,0.238398209,0.07943511,0.193234747,0.228404932,0.197327771,0.202678826,0.413397636,CTP3-T1,0.137528623,0.229423144,0.106830585,0.083553783,0.115286068,0.228862463,0.3392645,0.120049486,0,0.183694328,0.0105851,0.075919164,0.055364531,0.053015433,0.043533364,0.087269926,0.186801017,0.000890488,0.081373513,0.039192427,0.107114922,0.11105616,0.162094532,0.113277132,0.07989225,0.026529631,0.04947965,0.036510495,0.172477131,0.222803309,0.07788604,0.028690273,0.095752726,0.009778093,0.069844419,0.089593362,0.165012744,0.007942801,0.103728256,0,0.102839523,0.102839523,0.413397636,-7.262917959
"CTP2-T10: model, base, high",0.141705248,0.155875676,0.158088006,0.166399239,0.179682196,0.183323514,0.187567429,0.050980884,0.174113282,0.199877565,0.18978632,0.162761505,0.247800946,0.286689035,0.157149949,0.320754065,0.459600394,0.217627976,0.098449335,0,0.10447233,0,0,0,0.201162392,0.33519833,0,0,0.141463089,0.098898553,0,0,0,0,0.033041462,0.103738963,0.179610875,0.094637586,0.09965244,0.459600394,CTP3-T20,0.065782857,0.264011295,0.070967463,0.048498984,0.166373738,0.12156123,0.163643014,0.086568339,0.183694328,1.11022E-16,0.074241396,0.144790875,0.090714118,0.206600266,0.0156859,0.045006844,0.018937917,0.014434659,0.343865914,0.060902623,0.235121697,0.122216321,0.2261102,0.145956485,0.034618628,0.275991181,0.066991883,0.095163421,0.150588871,0.04671613,0.173455014,0.062377459,0.092189491,0.00164925,0.050368003,0.021060238,0.084979939,0.00870902,0.105593047,1.11022E-16,0.110161527,0.110161527,0.459600394,-0.116061403
