Cluster3Words,10PW1,10PW2,10PW3,10PW4,10PW5,10PW6,10PW7,10PW8,10PW9,10PW10,10W1,10W2,10W3,10W4,10W5,10W6,10W7,10W8,10W9,10W10,Magnitude - Initial Q-Values,Words,EntropyScore
"T01: applic, process, communic",0.008573799,0.000907255,0.000785113,0.00055689,0.000406467,0,0,0,0,0,applic,process,communic,system,comput,,,,,,0.005640776,"applic(0.006), , , , , , , , , ",0.042135979
"T02: function, model, system",0.005807684,0.002968805,0.00175213,0.001635292,0.001282759,0.001029518,0.000805612,0.000712618,0.000684123,0.000500042,function,model,system,base,comput,applic,communic,effici,design,integr,0.015751524,"model(0.008), applic(0.006), base(0.005), communic(0.005), comput(0.005), effici(0.004), design(0.004), system(0.004), integr(0.004), ",0.350192967
"T03: function, model, base",0.025853849,0.010574205,0.006550659,0.004977441,0.004041276,0.003871735,0.00370528,0.003635871,0.003012248,0.002967233,function,model,base,effici,comput,applic,system,distribut,high,requir,0.083964391,"function(0.041), model(0.036), base(0.026), requir(0.024), system(0.023), applic(0.023), distribut(0.023), effici(0.022), comput(0.020), high(0.019)",1.345392473
"T04: key, effici, function",0.017193475,0.014492314,0.012655962,0.011171773,0.010474782,0.009734439,0.009302484,0.008905577,0.008208564,0.007407502,key,effici,function,protocol,high,model,base,secur,process,distribut,0.167179507,"distribut(0.060), base(0.058), model(0.058), secur(0.056), high(0.056), protocol(0.053), function(0.053), process(0.052), effici(0.051), key(0.023)",2.19901052
"T05: function, base, effici",0.052969265,0.025183593,0.024610193,0.02366285,0.022457058,0.019893776,0.019602221,0.01918843,0.016394364,0.01374704,function,base,effici,design,key,high,distribut,applic,model,perform,0.351366278,"distribut(0.122), key(0.122), applic(0.120), high(0.118), design(0.116), perform(0.112), effici(0.106), model(0.104), function(0.096), base(0.091)",3.506342132
"T06: function, protocol, base",0.033333265,0.021403369,0.015368666,0.010751966,0.009583261,0.006656864,0.002779567,0.002573567,0.002477583,0.002449561,function,protocol,base,model,effici,applic,experiment,comput,integr,measur,0.145499486,"protocol(0.077), base(0.065), function(0.056), model(0.051), effici(0.051), applic(0.039), measur(0.020), experiment(0.017), comput(0.016), integr(0.016)",1.798406127
"T07: base, applic, function",0.01481522,0.012928574,0.012180095,0.011677653,0.011495315,0.011236124,0.011012892,0.00959086,0.008328535,0.008279507,base,applic,function,requir,model,process,effici,system,low,comput,0.178420731,"effici(0.069), comput(0.067), process(0.067), model(0.061), system(0.060), requir(0.056), low(0.053), function(0.051), applic(0.045), base(0.018)",2.259066514
"T08: function, model, base",0.086714123,0.039084632,0.035541503,0.025326239,0.024479431,0.020602302,0.017160715,0.016810664,0.013214958,0.011893899,function,model,base,effici,secur,distribut,applic,requir,system,low,0.39789668,"function(0.165), base(0.155), model(0.143), secur(0.133), effici(0.125), distribut(0.122), applic(0.107), requir(0.105), low(0.097), system(0.084)",3.689353352
"T09: function, effici, base",0.057263001,0.036023221,0.032228984,0.02981521,0.024730812,0.018428707,0.018389546,0.018067475,0.018030059,0.016410865,function,effici,base,protocol,design,model,key,applic,distribut,experiment,0.395106427,"protocol(0.147), base(0.140), design(0.134), experiment(0.133), effici(0.131), key(0.115), distribut(0.114), applic(0.113), model(0.109), function(0.105)",3.725783291
"T10: model, base, high",0.024121091,0.016154649,0.016152219,0.011457208,0.009129329,0.008978776,0.008647009,0.008214639,0.007733112,0.007351031,model,base,high,effici,design,comput,perform,process,applic,state,0.17020964,"high(0.068), state(0.060), base(0.057), effici(0.055), perform(0.054), comput(0.053), process(0.051), applic(0.049), design(0.048), model(0.037)",2.245663942
