Cluster3Words,13PW1,13PW2,13PW3,13PW4,13PW5,13PW6,13PW7,13PW8,13PW9,13PW10,13W1,13W2,13W3,13W4,13W5,13W6,13W7,13W8,13W9,13W10,Magnitude ,Words,EntropyScore
"T01: time, classic, applic",0.005007088,0.002941666,0.002858624,0.00167067,0.001399712,0.00110913,0.000955621,0.00091455,0.00087327,0.000538544,time,classic,applic,system,challeng,network,develop,comput,studi,promis,0.003673387,"studi(0.003), comput(0.002), promis(0.001), , , , , , , ",0.053379996
"T02: system, show, approach",0.005256391,0.00311791,0.003091298,0.002968805,0.002886207,0.002885488,0.002816848,0.002141346,0.001865483,0.001847899,system,show,approach,model,comput,studi,classic,final,present,function,0.02241611,"classic(0.010), function(0.010), present(0.009), final(0.009), studi(0.009), comput(0.007), model(0.006), approach(0.001), system(0.000), show(0.000)",0.420068726
"T03: number, system, model",0.012089272,0.01111584,0.010574205,0.01012508,0.00909287,0.008226225,0.008224474,0.007172092,0.006421224,0.0060025,number,system,model,classic,comput,function,technolog,network,differ,show,0.102421706,"classic(0.039), technolog(0.038), network(0.038), comput(0.036), differ(0.036), show(0.036), function(0.035), model(0.022), system(0.019), number(0.014)",1.539589475
"T04: key, protocol, system",0.022622993,0.011171773,0.010874527,0.009888568,0.009860232,0.009734439,0.009587156,0.009479793,0.009374292,0.008520526,key,protocol,system,requir,comput,model,time,number,secur,classic,0.130309073,"secur(0.053), classic(0.051), number(0.051), time(0.045), model(0.042), comput(0.040), requir(0.038), key(0.034), system(0.023), protocol(0.019)",1.822583003
"T05: network, system, key",0.036804363,0.034079208,0.02954876,0.019915732,0.019127538,0.018460519,0.016853857,0.016394364,0.016119461,0.015775233,network,system,key,requir,time,propos,function,model,classic,design,0.263134616,"design(0.097), classic(0.093), model(0.091), propos(0.085), requir(0.084), time(0.084), function(0.083), key(0.077), system(0.071), network(0.062)",2.962778275
"T06: protocol, network, number",0.021403369,0.013711357,0.013348937,0.013253406,0.010751966,0.010606039,0.006598216,0.006493744,0.006471017,0.006189289,protocol,network,number,classic,model,function,propos,time,base,scheme,0.118836886,"classic(0.053), function(0.046), model(0.044), scheme(0.037), base(0.036), time(0.034), protocol(0.032), number(0.030), propos(0.030), network(0.025)",1.735004852
"T07: system, classic, number",0.02877258,0.024117234,0.019430526,0.019178734,0.01862889,0.01751648,0.016071153,0.011495315,0.011320591,0.008732259,system,classic,number,network,comput,requir,differ,model,propos,present,0.208345358,"comput(0.081), network(0.080), requir(0.080), differ(0.079), propos(0.065), model(0.063), present(0.053), classic(0.048), number(0.048), system(0.046)",2.523620405
"T08: system, model, classic",0.039644875,0.039084632,0.033048512,0.029877136,0.027590857,0.025767822,0.025215995,0.024143624,0.020409663,0.018106683,system,model,classic,network,function,secur,requir,time,differ,propos,0.355615473,"time(0.135), network(0.129), requir(0.127), function(0.123), secur(0.120), differ(0.119), propos(0.111), classic(0.087), model(0.083), system(0.067)",3.474184706
"T09: classic, network, propos",0.057821486,0.041279438,0.032243416,0.02981521,0.026836634,0.024196772,0.020257618,0.020101564,0.020028651,0.018428707,classic,network,propos,protocol,number,key,system,comput,requir,model,0.344029863,"protocol(0.129), number(0.120), requir(0.117), model(0.113), key(0.113), comput(0.112), classic(0.102), system(0.101), network(0.088), propos(0.085)",3.455182708
"T10: model, network, challeng",0.024121091,0.024025271,0.023454144,0.020202245,0.013462625,0.011918136,0.009896489,0.009333465,0.008902354,0.008052879,model,network,challeng,comput,system,technolog,classic,propos,requir,develop,0.173433657,"comput(0.085), challeng(0.059), system(0.057), technolog(0.053), requir(0.051), propos(0.050), develop(0.048), network(0.048), classic(0.047), model(0.037)",2.243057593
"T11: classic, model, comput",0.080635296,0.054595202,0.049282801,0.034997642,0.023236146,0.020510052,0.018799566,0.015565064,0.014540113,0.014204946,classic,model,comput,network,develop,approach,challeng,differ,propos,system,0.356333412,"network(0.153), classic(0.146), comput(0.134), model(0.118), develop(0.103), approach(0.095), challeng(0.094), system(0.087), differ(0.086), propos(0.084)",3.462915777
"T12: model, network, challeng",0.029899931,0.022335038,0.015774746,0.015442455,0.013832635,0.013775041,0.013402246,0.010957637,0.010582901,0.009130141,model,network,challeng,classic,comput,system,approach,propos,differ,techniqu,0.177328261,"approach(0.065), classic(0.063), system(0.062), differ(0.061), propos(0.059), comput(0.059), techniqu(0.055), model(0.048), network(0.044), challeng(0.037)",2.30168649
"T13: classic, comput, model",0.080313249,0.063225915,0.061145389,0.052713334,0.027787146,0.022994024,0.020433278,0.018066976,0.017577408,0.016036889,classic,comput,model,network,develop,system,present,technolog,approach,applic,0.436774601,"network(0.234), model(0.168), classic(0.146), comput(0.138), develop(0.124), system(0.107), present(0.102), approach(0.102), technolog(0.100), applic(0.098)",3.775017064
"T14: network, model, classic",0.036811297,0.032094662,0.021586282,0.01329879,0.010818436,0.010236256,0.009721998,0.009510777,0.008509863,0.008118385,network,model,classic,comput,system,propos,technolog,approach,base,show,0.165507692,"model(0.067), network(0.062), classic(0.054), comput(0.053), approach(0.051), show(0.049), base(0.048), technolog(0.046), propos(0.045), system(0.044)",2.207886573
"T15: classic, model, network",0.028623633,0.020414668,0.014508012,0.011106913,0.01076341,0.006921036,0.006211815,0.006194682,0.004597677,0.004593576,classic,model,network,key,protocol,comput,secur,approach,techniqu,develop,0.112119289,"classic(0.046), protocol(0.044), key(0.043), model(0.040), network(0.034), approach(0.032), comput(0.028), secur(0.028), develop(0.027), techniqu(0.025)",1.669128549
"T16: model, network, design",0.015523147,0.006667888,0.002994188,0.002857216,0.002636659,0.002351842,0.001932767,0.001895779,0.001693737,0.001410417,model,network,design,develop,number,classic,comput,system,state,show,0.027844271,"model(0.020), network(0.009), state(0.008), system(0.007), show(0.007), classic(0.006), number(0.006), develop(0.005), comput(0.005), design(0.000)",0.501158725
"T17: classic, model, network",0.017502143,0.012555823,0.011460999,0.007047471,0.005573863,0.004649457,0.004556174,0.003834385,0.003813079,0.003747087,classic,model,network,comput,challeng,applic,develop,effici,technolog,state,0.067468887,"network(0.025), comput(0.025), classic(0.024), model(0.022), state(0.021), technolog(0.020), challeng(0.020), develop(0.019), effici(0.018), applic(0.017)",1.175708321
"T18: model, develop, comput",0.026996162,0.007911234,0.006617764,0.004665758,0.004307373,0.004033303,0.00346514,0.003030066,0.002892419,0.002501738,model,develop,comput,number,network,technolog,demonstr,exist,differ,propos,0.058421274,"model(0.043), differ(0.015), technolog(0.014), exist(0.014), number(0.014), network(0.014), propos(0.014), demonstr(0.013), develop(0.011), comput(0.011)",0.938301527
"T19: secur, technolog, key",0.511774924,0.430352312,0.340307139,0.209596928,0.203599948,0.196034651,0.181431714,0.16435473,0.158786812,0.149907026,secur,technolog,key,challeng,comput,protocol,system,classic,develop,requir,3.021944073,"secur(0.981), technolog(0.977), key(0.971), challeng(0.954), comput(0.953), protocol(0.951), system(0.947), classic(0.942), develop(0.941), requir(0.937)",0.625739733
"T20: technolog, protocol, qkd",0.012853301,0.01182306,0.007171714,0.00325167,0.002882007,0.00208871,0.001887171,0.001882378,0.001851731,0.001772574,technolog,protocol,qkd,secur,classic,function,work,techniqu,exist,network,0.034022032,"protocol(0.020), technolog(0.015), qkd(0.012), network(0.009), exist(0.009), secur(0.007), techniqu(0.007), classic(0.007), work(0.005), function(0.005)",0.63363152
"T21: technolog, secur, challeng",0.392700848,0.254125384,0.137458883,0.133026569,0.127680942,0.122990366,0.122207672,0.118467146,0.106490613,0.078994462,technolog,secur,challeng,protocol,classic,develop,comput,key,cryptographi,system,1.902439061,"technolog(0.750), key(0.678), comput(0.637), cryptographi(0.630), protocol(0.603), classic(0.595), develop(0.595), secur(0.574), system(0.493), challeng(0.387)",4.349800657
"T22: key, classic, secur",0.062716288,0.043628725,0.035639418,0.022480716,0.019047746,0.015370642,0.014374456,0.011845611,0.011544674,0.011535472,key,classic,secur,qkd,protocol,technolog,rate,system,optic,network,0.263396305,"key(0.112), qkd(0.095), secur(0.094), classic(0.093), protocol(0.083), rate(0.070), network(0.070), technolog(0.070), optic(0.066), system(0.065)",2.9365556
"T23: key, classic, qkd",0.091791221,0.043613999,0.043172976,0.041515644,0.029269488,0.020295716,0.01737224,0.017357464,0.016173276,0.01405273,key,classic,qkd,secur,technolog,system,network,scheme,rate,protocol,0.37771472,"secur(0.183), key(0.168), technolog(0.131), qkd(0.116), scheme(0.096), rate(0.094), system(0.094), classic(0.093), network(0.086), protocol(0.086)",3.518995411
"T24: key, secur, qkd",0.101262382,0.048733757,0.045835894,0.03926905,0.023762385,0.021209763,0.017056353,0.014729115,0.013304929,0.012331672,key,secur,qkd,classic,rate,technolog,protocol,system,distribut,network,0.369790886,"key(0.186), classic(0.173), qkd(0.124), rate(0.105), secur(0.105), technolog(0.098), protocol(0.085), system(0.081), distribut(0.077), network(0.075)",3.43410417
"T25: scheme, classic, key",0.012999486,0.012898565,0.010454619,0.006770587,0.006288672,0.0046676,0.003792152,0.003684522,0.003437379,0.00309596,scheme,classic,key,secur,channel,challeng,high,propos,state,technolog,0.061490156,"secur(0.023), channel(0.023), classic(0.023), key(0.022), state(0.018), propos(0.018), technolog(0.017), challeng(0.017), scheme(0.015), high(0.015)",1.091351204
"T26: differ, protocol, system",0.012083441,0.011126302,0.007953199,0.00663694,0.004907885,0.004759388,0.004546495,0.00425305,0.003504975,0.00326324,differ,protocol,system,secur,communic,challeng,applic,present,state,high,0.057794745,"secur(0.023), present(0.021), applic(0.019), protocol(0.019), state(0.019), high(0.018), challeng(0.018), communic(0.017), system(0.015), differ(0.014)",1.044913843
