DocID,TopicNo,Cluster,Citation,Publcation Year,Article Title,Source title,DOI,Abstract,DOI Link,Document Type,TopicNo,TopicValue,architectur, channel, cryptographi, exist, approach, complex, current, achiev, algorithm, analysi, applic, design, author, develop, effect, field, high, base, challeng, classic, communic, compar, comput, â, demonstr, devic, differ, direct, discuss, distribut, effici, entangl, experi, experiment, feasibl, function, futur, generat, howev, ieee, implement, import, improv, includ, increas, inform, integr, larg, learn, limit, low, mani, measur, onli, oper, optic, optim, perform, photon, physic, potenti, power, practic, present, problem, progress, promis, propos, protocol, provid, rate, recent, requir, result, scheme,secur, signific, simul, state, studi, techniqu, technolog, term, key, method, model, network, process, show, system, time, work, final, internet, number, qkd, resourc, solut, space, transmiss,DocWeight,DocWeightNorm
1,6,C1,Frohlich et al. (2013),2013,A quantum access network,Nature,10.1038/NATURE12493,"The theoretically proven security of quantum key distribution (QKD) could revolutionize the way in which information exchange is protected in the future. Several field tests of QKD have proven it to be a reliable technology for cryptographic key exchange and have demonstrated nodal networks of point-to-point links. However, until now no convincing answer has been given to the question of how to extend the scope of QKD beyond niche applications in dedicated high security networks. Here we introduce and experimentally demonstrate the concept of a 'quantum access network': based on simple and cost-effective telecommunication technologies, the scheme can greatly expand the number of users in quantum networks and therefore vastly broaden their appeal. We show that a high-speed single-photon detector positioned at a network node can be shared between up to 64 users for exchanging secret keys with the node, thereby significantly reducing the hardware requirements for each user added to the network. This point-to-multipoint architecture removes one of the main obstacles restricting the widespread application of QKD. It presents a viable method for realizing multi-user QKD networks with efficient use of resources, and brings QKD closer to becoming a widespread technology.",,Article,6,0.829578876,0.137955362,0,0,0,0,0,0,0,0,0,0.093175451,0,0,0,0.115888439,0.138901752,0.167312523,0.04044702,0,0,0,0,0,0,0.181637871,0,0,0,0,0.073813602,0.090818936,0,0,0.12748034,0,0,0.037276101,0,0.114183074,0,0,0,0,0,0,0.086802428,0,0,0,0,0,0,0,0,0,0,0,0,0.131659975,0,0,0,0,0.087960499,0,0,0,0,0,0,0,0,0.098239158,0,0.109930707,0.109810813,0.141324064,0,0,0,0,0.212437732,0,0.164275615,0.102402552,0,0.279228671,0,0.096903579,0,0,0,0,0,0.139379689,0.734330991,0.132526063,0,0,0,3.946103007,0.547815042
2,3,C3,Nunes et al. (2014),2014,"A Survey of Software-Defined Networking: Past, Present, and Future of Programmable Networks",IEEE Communications Surveys & Tutorials,10.1109/SURV.2014.012214.00180,"The idea of programmable networks has recently re-gained considerable momentum due to the emergence of the Software-Defined Networking (SDN) paradigm. SDN, often referred to as a ""radical new idea in networking"", promises to dramatically simplify network management and enable innovation through network programmability. This paper surveys the state-of-the-art in programmable networks with an emphasis on SDN. We provide a historic perspective of programmable networks from early ideas to recent developments. Then we present the SDN architecture and the OpenFlow standard in particular, discuss current alternatives for implementation and testing of SDN-based protocols and services, examine current and future SDN applications, and explore promising research directions based on the SDN paradigm.",,Article,3,0.811996579,0.213155912,0,0,0,0,0,0.3377556,0,0,0,0.07198306,0,0,0.111129167,0,0,0,0.124990015,0,0,0,0,0,0,0,0,0,0.210998187,0.197599936,0,0,0,0,0,0,0,0.115191192,0,0,0,0.117966351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271816914,0,0,0.435204309,0,0.142218752,0.119510434,0,0.379378216,0,0,0,0,0,0,0.138833134,0,0,0,0,0,0,0,0.485368213,0,0,0,0,0,0,0,0,0,0,0,0,0,3.473099393,0.416270412
3,6,C1,Ursin et al. (2007),2007,Entanglement-based quantum communication over 144km,Nature Physics,10.1038/NPHYS629,"Quantum entanglement is the main resource to endow the field of quantum information processing with powers that exceed those of classical communication and computation. In view of applications such as quantum cryptography or quantum teleportation, extension of quantum-entanglement-based protocols to global distances is of considerable practical interest. Here we experimentally demonstrate entanglement-based quantum key distribution over 144ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â°km. One photon is measured locally at the Canary Island of LaÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â Palma, whereas the other is sent over an optical free-space link to Tenerife, where the Optical Ground Station of the European Space Agency acts as the receiver. This exceeds previous free-space experiments by more than an order of magnitude in distance, and is an essential step towards future satellite-based quantum communication and experimental tests on quantum physicsÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â inÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â space.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134944086&doi=10.1021%2facs.jctc.2c00193&partnerID=40&md5=36d374198b66cfad8474d51c6ecd0470,Article,6,0.825345159,0,0,0.128423905,0,0,0,0,0,0,0,0.048131741,0,0,0,0,0.14350525,0,0.167150078,0,0.106987052,0.119848789,0,0.056877136,0.105713353,0.093828868,0,0,0,0,0.076259941,0,0.562439996,0.122638744,0.263410618,0,0,0.03851151,0,0,0,0,0,0,0,0,0.089679245,0,0,0,0,0,0,0.13513939,0,0,0.236632744,0,0,0.136023466,0,0,0.130457627,0.121534193,0,0,0,0,0,0.095095098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056573352,0,0,0,0.109738405,0,0,0,0,0,0,0,0,0.136918258,0,0.547673032,0,3.829191792,0.515301458
4,5,C3,Cozzolino et al. (2019),2019,"High-Dimensional Quantum Communication: Benefits, Progress, and Future Challenges",Advanced quantum technologies,10.1002/QUTE.201900038,"In recent years, there has been a rising interest in high-dimensional quantum states and their impact on quantum communication. Indeed, the availability of an enlarged Hilbert space offers multiple advantages, from larger information capacity and increased noise resilience, to novel fundamental research possibilities in quantum physics. Multiple photonic degrees of freedom have been explored to generate high-dimensional quantum states, both with bulk optics and integrated photonics. Furthermore, these quantum states have been propagated through various channels, \textit{e.g.} free-space links, single-mode, multicore, and multimode fibers and also aquatic channels, experimentally demonstrating the theoretical advantages over two-dimensional systems. Here, we review the state of the art on the generation, the propagation and the detection of high-dimensional quantum states.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137916870&doi=10.1109%2fJETCAS.2022.3202870&partnerID=40&md5=35902c897b1d7e5d8ca5caa73f8aa0cb,Article,5,0.821562231,0,0.274044972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399190481,0,0.145553383,0,0.092258004,0,0,0,0.108342322,0,0,0,0,0,0,0,0,0.152077493,0,0,0.044468472,0.238952206,0,0,0,0,0,0,0.15403707,0.103550835,0.162907717,0,0,0,0,0,0,0,0,0.136617555,0,0,0.314127166,0.150161956,0,0,0,0,0,0.16570265,0,0,0,0,0,0.146455379,0,0,0,0,0,0,0.53595221,0,0,0,0,0,0,0,0,0,0,0.070000787,0,0,0,0,0,0,0,0,0.316193563,0,3.710594224,0.482318892
5,3,C3,Sevilla & Riedel (2020),2020,Forecasting timelines of quantum computing,arXiv: Quantum Physics,(missing DOI),"We consider how to forecast progress in the domain of quantum computing. For this purpose we collect a dataset of quantum computer systems to date, scored on their physical qubits and gate error rate, and we define an index combining both metrics, the generalized logical qubit. We study the relationship between physical qubits and gate error rate, and tentatively conclude that they are positively correlated (albeit with some room for doubt), indicating a frontier of development that trades-off between them. We also apply a log-linear regression on the metrics to provide a tentative upper bound on how much progress can be expected over time. Within the (generally optimistic) assumptions of our model, including the key assumption that exponential progress in qubit count and gate fidelity will continue, we estimate that that proof-of-concept fault-tolerant computation based on superconductor technology is unlikely (<5% confidence) to be exhibited before 2026, and that quantum devices capable of factoring RSA-2048 are unlikely (<5% confidence) to exist before 2039. It is of course possible that these milestones will in fact be reached earlier, but that this would require faster progress than has yet been seen.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138465068&doi=10.23919%2fJSEE.2022.000085&partnerID=40&md5=e7cf6259d3392f5c07bbe995e90146e2,Article,3,0.795881152,0,0,0,0.171917237,0,0,0,0,0,0,0,0,0,0.094222102,0,0,0,0.052987088,0,0,0,0,0.28848363,0,0,0.152271419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160830022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329800801,0,0,0,0,0,0.727865676,0,0,0,0.101328252,0.294804061,0,0.128696921,0,0,0,0,0,0,0.14958404,0,0.092767089,0,0.071735705,0,0.12557071,0,0,0,0.076871387,0.127993129,0,0,0,0,0,0,0,0,0,3.147729271,0.325783382
6,3,C1,Chamola et al. (2021),2021,"Information security in the post quantum era for 5G and beyond networks: Threats to existing cryptography, and post-quantum cryptography",Computer Communications,10.1016/J.COMCOM.2021.05.019,"Quantum computing is an emerging field that uses the concepts of quantum mechanics to outperform classical computers. Quantum computing finds plethora of applications in the 5G and Beyond networks. It can process data at an exponential rate, which can address numerous business and scientific challenges. In this paper, we provide a detailed review of the field, starting from the most important applications of quantum computers and then diving into the future of cryptography. The major applications of quantum computing include unstructured search, quantum simulation, and optimization. It can also provide improvements in terms of speed and accuracy for some existing technologies, such as machine learning. These technologies have numerous applications in 5G and beyond networks. However, due to such abilities of quantum computing, it can also pose a serious risk to many existing security systems, especially the asymmetric key cryptography schemes. The risk of quantum computing has also influenced the mobile broadband standards to move from a symmetric key cryptography techniques to PKI-based trust model. We also discuss in detail various alternate cryptosystems based on mathematical problems that are believed to be hard even for a quantum computer to solve. In parallel, we discuss the developments in the field of quantum key distribution that makes use of quantum phenomenon to develop a quantum-resistant crypto systems. Such quantum-resistant systems have a great potential in provisioning secure 5G and beyond networks.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124765269&doi=10.1016%2fj.neucom.2022.02.004&partnerID=40&md5=0f63b9487c0207bc72711a5c14aaddba,Article,3,0.854959369,0,0,0.515951531,0.326821222,0,0,0,0,0,0,0.154697964,0,0,0.119413205,0,0.3459251,0,0.067153649,0.101286991,0.085965511,0,0,0.365612252,0,0,0,0,0,0.212329871,0.061275871,0,0,0,0,0,0,0.030944508,0,0.094788321,0,0,0.102231015,0.097654332,0.101914668,0,0.072058459,0,0,0.110015631,0,0,0.115308367,0,0,0,0,0.096491258,0,0,0,0.103838563,0,0,0,0.08669331,0,0,0,0,0.128419247,0.093405627,0,0,0,0.091258247,0.136738076,0,0.095918162,0,0,0.110743431,0.117569182,0.104493983,0.136372311,0,0.079571569,0.115899914,0.08817626,0,0.146135438,0,0,0,0,0,0,0,0,0,0,4.813073043,0.788923671
7,1,C5,Chancellor (2016),2016,Modernizing quantum annealing using local searches,(missing journal),10.1088/1367-2630/AA59C4,"I describe how real quantum annealers may be used to perform local (in state space) searches around specified states, rather than the global searches traditionally implemented in the quantum annealing algorithm (QAA). Such protocols will have numerous advantages over simple quantum annealing. By using such searches the effect of problem mis-specification can be reduced, as only energy differences between the searched states will be relevant. The QAA is an analogue of simulated annealing, a classical numerical technique which has now been superseded. Hence, I explore two strategies to use an annealer in a way which takes advantage of modern classical optimization algorithms. Specifically, I show how sequential calls to quantum annealers can be used to construct analogues of population annealing and parallel tempering which use quantum searches as subroutines. The techniques given here can be applied not only to optimization, but also to sampling. I examine the feasibility of these protocols on real devices and note that implementing such protocols should require minimal if any change to the current design of the flux qubit-based annealers by D-Wave Systems Inc. I further provide proof-of-principle numerical experiments based on quantum Monte Carlo that demonstrate simple examples of the discussed techniques.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125745812&doi=10.1109%2fTCSI.2022.3152591&partnerID=40&md5=aae2378e52c89cb62b36d739647a6a63,Article,1,0.845637143,0,0,0,0,0,0,0.128927358,0,0.171005534,0,0,0.128556881,0,0,0.136700918,0,0,0.095421852,0,0.244305063,0,0,0,0,0.107129167,0.137109071,0.138761739,0,0.150854865,0,0,0,0.140022861,0,0.11556454,0,0,0,0,0,0.180119471,0,0,0,0,0,0,0,0,0,0,0,0,0.318935728,0,0,0.274218142,0.087522972,0,0,0,0,0,0,0.123186696,0,0,0,0.325724659,0.091238543,0,0,0.115881992,0,0,0,0,0.136294732,0.317970554,0,0.472082008,0,0,0,0,0,0,0,0.114306555,0.069216959,0,0,0,0,0,0,0,0,0.156326504,0,4.477385363,0.695567277
8,6,C5,Yin et al. (2016),2016,Measurement-Device-Independent Quantum Key Distribution Over a 404 km Optical Fiber.,Physical Review Letters,10.1103/PHYSREVLETT.117.190501,A protocol for secure quantum communications has been demonstrated over a record-breaking distance of 404 km.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128085838&doi=10.3390%2fen15062003&partnerID=40&md5=36671464f34b0058da3083e03b2eadff,Article,6,0.780910969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142714453,0,0,0,0.335190758,0.428993288,0,0,0,0.272428178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482766934,0,0,0.422669009,0,0,0,0,0,0,0,0,0,0,0,0,0.339714194,0,0,0,0,0,0,0.202642596,0,0,0,0,0,0,0,0.202100541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82921995,0.237204374
9,3,C1,Agiwal et al. (2016),2016,Next Generation 5G Wireless Networks: A Comprehensive Survey,IEEE Communications Surveys and Tutorials,10.1109/COMST.2016.2532458,"The vision of next generation 5G wireless communications lies in providing very high data rates (typically of Gbps order), extremely low latency, manifold increase in base station capacity, and significant improvement in usersÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ perceived quality of service (QoS), compared to current 4G LTE networks. Ever increasing proliferation of smart devices, introduction of new emerging multimedia applications, together with an exponential rise in wireless data (multimedia) demand and usage is already creating a significant burden on existing cellular networks. 5G wireless systems, with improved data rates, capacity, latency, and QoS are expected to be the panacea of most of the current cellular networksÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ problems. In this survey, we make an exhaustive review of wireless evolution toward 5G networks. We first discuss the new architectural changes associated with the radio access network (RAN) design, including air interfaces, smart antennas, cloud and heterogeneous RAN. Subsequently, we make an in-depth survey of underlying novel mm-wave physical layer technologies, encompassing new channel model estimation, directional antenna design, beamforming algorithms, and massive MIMO technologies. Next, the details of MAC layer protocols and multiplexing schemes needed to efficiently support this new physical layer are discussed. We also look into the killer applications, considered as the major driving force behind 5G. In order to understand the improved user experience, we provide highlights of new QoS, QoE, and SON features associated with the 5G evolution. For alleviating the increased network energy consumption and operating expenditure, we make a detail review on energy awareness and cost efficiency. As understanding the current status of 5G implementation is important for its eventual commercialization, we also discuss relevant field trials, drive tests, and simulation experiments. Finally, we point out major existing research issues and identify possible future research directions.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125202175&doi=10.3390%2fe24020298&partnerID=40&md5=89b43138d7a5b5c0804df889f8bc1f64,Article,3,0.869431257,0.117128562,0.097520145,0,0.222838446,0,0,0.2783936,0,0.061542209,0,0.07910897,0.185062418,0,0,0,0.117932078,0.071026871,0.034340827,0,0,0.032830429,0.099576767,0,0.06949987,0,0.098686807,0,0.231885796,0.325741794,0,0.154216425,0,0.201568123,0,0,0,0.031648615,0.170064451,0,0,0.064822172,0.104557166,0.299629037,0.104233621,0.328888736,0,0,0,0,0,0.11215013,0,0,0,0.099876346,0,0,0,0,0.213743249,0,0,0,0,0.088665918,0,0,0,0.078148796,0.131341281,0.191061931,0,0,0,0.093334724,0,0.239977399,0.098100671,0,0,0,0.120244335,0,0,0,0.08138213,0.177805627,0,0,0.049820195,0,0,0.1199887,0,0,0,0,0,0,0,5.478385363,0.973950297
10,3,C3,Hassija et al. (2020),2020,Present landscape of quantum computing,IET quantum communication,10.1049/IET-QTC.2020.0027,"Quantum computing is currently a topic of interest that harnesses the phenomena of quantum mechanics. It can address several scientific challenges and generate new business opportunities. Recently, for the first time in the history of quantum computing, the authors are starting to see practical applications. Keeping this in mind, this article is designed to explore the field without any required prerequisites. The authors start with a brief overview of the fundamentals of quantum computing and also outline several applications. The timeline for widespread adoption cannot be predicted, but quite a few organisations have built the first generation of quantum computers using various hardware technologies. The authors have briefly covered the wide landscape of hardware technologies. The first generation of quantum computers can be programmed using available software development kits and accessed using online cloud services. Furthermore, the growing trend in investments and patents in the field of quantum computing is also presented. A major reason for this trend is the threat that quantum computers pose against cryptography.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123938493&doi=10.3389%2ffphy.2021.748285&partnerID=40&md5=4465db1fe1563dcbc9c970461b4deddd,Article,3,0.809093356,0,0,0.152133139,0,0,0,0.133767862,0,0,0,0.114035357,0.133383476,0.456399417,0.088025254,0,0.339997514,0,0,0.149327088,0,0,0,0.539020976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367721138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14397147,0.215305787,0,0,0,0,0,0,0,0.150252469,0.120232715,0,0,0,0,0,0,0,0,0.173331869,0,0,0,0,0,0,0,0,0.11957521,0,0,0,0,0,0,0,0,0,3.39648074,0.394962388
