Cluster3Words,Doc:1 SubA:2,Doc:2 SubA:2,Doc:3 SubA:2,Doc:4 SubA:2,Doc:5 SubA:2,Doc:6 SubA:3,Doc:7 SubA:1,Doc:8 SubA:1,Doc:9 SubA:2,Doc:10 SubA:2,Doc:11 SubA:2,Doc:12 SubA:2,Doc:13 SubA:1,Doc:14 SubA:3,Doc:15 SubA:2,Doc:16 SubA:1,Doc:17 SubA:2,Doc:18 SubA:2,Doc:19 SubA:3,Doc:20 SubA:3,Doc:21 SubA:3,Doc:22 SubA:2,Doc:23 SubA:3,Doc:24 SubA:3,Doc:25 SubA:3,Doc:26 SubA:2,Doc:27 SubA:3,Doc:28 SubA:2,Doc:29 SubA:3,Doc:30 SubA:3,Doc:31 SubA:3,Doc:32 SubA:1,Doc:33 SubA:2,Doc:34 SubA:2,Doc:35 SubA:1,Rewards_AvgScore,MaxScore,Top 5 Docs,"0.1 = Learning rate (α) = 0.1
0.9 = Discount factor (γ) = 0.9",Modified Rewards= Rewards_AvgScore + CTP2 Entropy * Lambda = 0.5,Current Q-value ,"Max Next Q-value (max Q(s',a')) (e.g., 0.459)","the updated Q-value (Learning rate (α) = 0.1, Discount factor (γ) = 0.9)"
"CTP2-T01: applic, process, communic",0.021401579,0.069390782,0.103095706,0.022357873,0.023989061,0.097547475,0.105569703,0.181736168,0.082171051,0.141863223,0.024319934,0.036062236,0.018918569,0.046890144,0.193289578,0.028116932,0.043729616,0.199678417,0.108849408,0.043898934,0.153518515,0.171261838,0.033378822,0.043898934,0.153518515,0.171261838,0.033378822,0.01617155,0.307911778,0.098404476,0.102003753,0.059876524,0.150188618,0.124030541,0.032175517,0.110306462,0.210775556,29-18-15-8 -22,,0.131374452,0.005640776,0.592063129,0.071499825
"CTP2-T02: function, model, system",0.045917178,0.089882659,0.119393354,0.032903948,0.068042862,0.138146562,0.146503363,0.243033661,0.118699556,0.201220026,0.110020734,0.127665142,0.040799774,0.114267847,0.244211549,0.010800678,0.030191088,0.362931098,0.102054054,0.353730668,0.170344546,0.482725502,0.158114857,0.353730668,0.170344546,0.482725502,0.158114857,0.073346186,0.209711456,0.06936921,0.177963163,0.142246832,0.282836379,0.095142831,0.007986239,0.407168688,0.407168688,22-22-18-20-20, ,0.582265171,0.015751524,0.592063129,0.12568857
"CTP2-T03: function, model, base",0.127990059,0.115293354,0.214299374,0.104618796,0.123432935,0.220243387,0.274699666,0.268954331,0.214904799,0.325769544,0.171717504,0.153887888,0.12948535,0.164598022,0.263125383,0.148372205,0.056651856,0.420788624,0.13718731,0.406252832,0.282733285,0.527460642,0.214820612,0.406252832,0.282733285,0.527460642,0.214820612,0.180762955,0.263038571,0.140606414,0.283623164,0.165949738,0.28298535,0.130951694,0.065207944,0.435664186,0.457643114,22-22-18-20-20, ,1.108360422,0.083964391,0.592063129,0.239689676
"CTP2-T04: key, effici, function",0.247621642,0.226708836,0.280598077,0.166821728,0.311197557,0.212688144,0.218717797,0.314468651,0.25207174,0.399896267,0.281915301,0.286720663,0.251773412,0.166236969,0.277078527,0.183808052,0.130882108,0.305203928,0.169000088,0.316112866,0.17644045,0.334891872,0.132535781,0.316112866,0.17644045,0.334891872,0.132535781,0.377776032,0.230236441,0.153368583,0.253503241,0.304215455,0.34120587,0.186677495,0.138239319,0.332361203,0.357732383,10-28-33-22-22,,1.431866464,0.167179507,0.592063129,0.346933884
"CTP2-T05: function, base, effici",0.236478453,0.201089207,0.286219629,0.186509666,0.278398446,0.204190383,0.231575546,0.395795673,0.244973962,0.403638263,0.341530094,0.27145563,0.227470323,0.183750432,0.271864257,0.167140747,0.133365858,0.337990577,0.166005718,0.290434428,0.199462022,0.370669794,0.189381946,0.290434428,0.199462022,0.370669794,0.189381946,0.373628661,0.286812377,0.18390223,0.215505059,0.274527319,0.394612609,0.220965305,0.11229568,0.373566933,0.387669,10-8 -33-28-22,,2.126737999,0.351366278,0.592063129,0.582189132
"CTP2-T06: function, protocol, base",0.19186712,0.130039535,0.084314787,0.049908744,0.077753732,0.224523155,0.284367787,0.141812098,0.25586163,0.20927633,0.14886532,0.195857701,0.139908276,0.168492844,0.402707444,0.067447437,0.039678327,0.339368316,0.274603593,0.411284831,0.286840873,0.297746779,0.207733963,0.411284831,0.286840873,0.297746779,0.207733963,0.183016533,0.267423147,0.121471263,0.375778593,0.230271508,0.126130809,0.123160054,0.097210037,0.388084803,0.388084803,20-20-15-31-18,,1.287287867,0.145499486,0.592063129,0.312964005
"CTP2-T07: base, applic, function",0.121587481,0.121726462,0.195082752,0.113492515,0.120302362,0.217567695,0.199151397,0.252213886,0.272314737,0.313840137,0.233013761,0.184133837,0.114221761,0.101137815,0.251476091,0.136617509,0.055046579,0.351687671,0.14160274,0.253395112,0.194668617,0.457968114,0.0877031,0.253395112,0.194668617,0.457968114,0.0877031,0.1835635,0.264614077,0.125743605,0.220326493,0.206067666,0.324296948,0.160606478,0.047961579,0.381152197,0.381152197,22-22-18-33-10,,1.510685454,0.178420731,0.592063129,0.364932885
"CTP2-T08: function, model, base",0.188007669,0.133754356,0.244755895,0.141705051,0.129540466,0.203043717,0.233273432,0.296465223,0.214982227,0.329277907,0.245194316,0.17502377,0.124561241,0.179624882,0.258572799,0.117985743,0.065693064,0.383262872,0.148480779,0.426284417,0.236957406,0.427042367,0.20040854,0.426284417,0.236957406,0.427042367,0.20040854,0.227366923,0.280450317,0.125937445,0.295451323,0.230498689,0.301201112,0.159258521,0.071480865,0.388627923,0.417983288,22-22-20-20-18,,2.233304599,0.39789668,0.592063129,0.634723154
"CTP2-T09: function, effici, base",0.209036771,0.157308856,0.1847475,0.127926045,0.174526005,0.282051616,0.23905111,0.291706038,0.247116007,0.293820181,0.294432048,0.242117322,0.206611099,0.183577218,0.397826622,0.122689874,0.099059496,0.373322761,0.232517519,0.282890773,0.232505063,0.329499927,0.148411479,0.282890773,0.232505063,0.329499927,0.148411479,0.301703893,0.342600172,0.142688831,0.330652222,0.236441462,0.258461668,0.191382118,0.095265847,0.343586504,0.354780341,15-18-29-31-22,,2.206478149,0.395106427,0.592063129,0.629529281
"CTP2-T10: model, base, high",0.147586613,0.109754937,0.197768701,0.103580218,0.147253306,0.217603527,0.235300513,0.27116616,0.269150958,0.267077373,0.223871638,0.155744176,0.141768057,0.104216119,0.20551773,0.092385743,0.065533601,0.313308929,0.129866095,0.461882369,0.141454294,0.529911081,0.060506684,0.461882369,0.141454294,0.529911081,0.060506684,0.231926807,0.208418461,0.128845864,0.290873188,0.172094777,0.234595391,0.171980182,0.065672892,0.459379166,0.459379166,22-22-20-20-18,,1.582211137,0.17020964,0.592063129,0.364695471
