Cluster3Words,Doc:1 SubA:1,Doc:2 SubA:3,Doc:3 SubA:1,Doc:4 SubA:1,Doc:5 SubA:1,Doc:6 SubA:2,Doc:7 SubA:3,Doc:8 SubA:3,Doc:9 SubA:3,Doc:10 SubA:3,Doc:11 SubA:3,Doc:12 SubA:3,Doc:13 SubA:3,Doc:14 SubA:3,Doc:15 SubA:3,Doc:16 SubA:3,Doc:17 SubA:2,Doc:18 SubA:2,Doc:19 SubA:3,Doc:20 SubA:3,Doc:21 SubA:3,Doc:22 SubA:2,Doc:23 SubA:3,Doc:24 SubA:1,Doc:25 SubA:3,Doc:26 SubA:2,Doc:27 SubA:2,Doc:28 SubA:2,Doc:29 SubA:2,Doc:30 SubA:2,Doc:31 SubA:1,Doc:32 SubA:2,Doc:33 SubA:2,Doc:34 SubA:3,Doc:35 SubA:3,Doc:36 SubA:3,Rewards_AvgScore,MaxScore,Top 5 Docs,Modified Rewards= Rewards_AvgScore +  CTP2 Entropy * Lambda = 0.5,Current Q-value ,"Max Next Q-value (max Q(s',a')) (e.g., 0.459)",the updated Q-value
"CTP3-T01: time, classic, applic",0,0.007681416,0.035100341,0.034476415,0.124815909,0,0,0,0.077991937,0.106366678,0.030851158,0.067764402,0,0.012401769,0.009817265,0.049497378,0,0,0.098898611,0.126707956,0.149137283,0.228082167,0.009732248,0,0.12865495,0,0,0,0.032461372,0.103375225,0.026976561,0.269624311,0.077855246,0.218341125,0.153789733,0.102731386,0,0.203794924,32-22-34-35-21,0.026689998,0.071499825,0.585846276,0.119745007
"CTP3-T02: system, show, approach",0,0.07816896,0.012541905,0.125545166,0.010492934,0,0.013141623,0,0.01099575,0.277692693,0.01360087,0.050790693,0,0.012739163,0.011989355,0.129223406,0,0.171868354,0.065401799,0.08379216,0.024233585,0.172692663,0,0.189843277,0.100043506,0.068850339,0.011608574,0.015517308,0.131781707,0.082793365,0.004118501,0.318831884,0.032832175,0.032722815,0.195846403,0.285058254,0.318831884,0.230981384,32-10-35-24-22,0.528866247,0.12568857,0.585846276,0.218732503
"CTP3-T03: number, system, model",0.027319909,0.198292063,0.030203458,0.13353803,0.064162696,0.036509985,0.116276309,0.033240504,0.036855774,0.179118077,0.093076522,0.196532935,0.021090037,0.1642225,0.110230557,0.200530289,0.007041258,0.227365573,0.138783539,0.177808144,0.084076942,0.270684326,0.049391803,0.222204555,0.192397849,0.101497077,0.092655488,0.085501562,0.142600874,0.1478752,0.064511467,0.281918004,0.052773906,0.081116815,0.153439755,0.266437722,0,0.240540549,32-22-18-24-16,0.769794737,0.239689676,0.585846276,0.345426347
"CTP3-T04: key, protocol, system",0.13595694,0.177294957,0.028744237,0.101025565,0.188541776,0.094166928,0.15710458,0.165221321,0.053028806,0.150309858,0.284296888,0.352091507,0.134245641,0.169175662,0.147040834,0.370479319,0.008287336,0.163954082,0.078149659,0.100124597,0.375168733,0.467266575,0.098016118,0.159012856,0.135438282,0.058482194,0.056754716,0.089479898,0.129703732,0.120090169,0.153920449,0.187234821,0.059453798,0.104584706,0.197874962,0.329161244,0.378833476,0.369860604,22-21-16-12-11,1.290124977,0.346933884,0.585846276,0.493979158
"CTP3-T05: network, system, key",0.081563132,0.114727236,0.047259728,0.078338384,0.127104781,0.066577243,0.117905897,0.113353334,0.060179555,0.229515253,0.27014735,0.329664134,0.066745097,0.156535819,0.138409184,0.333501518,0.020064728,0.180711092,0.260608823,0.333889533,0.263789069,0.359565663,0.08254225,0.130561562,0.355961417,0.086144096,0.074364981,0.116005987,0.09793712,0.125557334,0.145836819,0.216639941,0.065739019,0.108751803,0.242705875,0.362126606,0.345784812,0.342516453,22-25-20-16-12,1.827173949,0.582189132,0.585846276,0.759413778
"CTP3-T06: protocol, network, number",0.19056117,0.153023541,0.012552801,0.093528067,0.193350196,0,0.100943776,0.064650217,0.025288588,0.056875591,0.085049222,0.237307932,0.162657452,0.12711665,0.097360309,0.092384137,0.003813293,0.191226022,0.214801653,0.275201826,0.08916564,0.283662509,0.01466722,0.199438402,0.351470032,0.096173526,0.06063103,0.076626275,0.087080189,0.113040177,0.153526325,0.205449258,0.041776783,0.067074441,0.08960996,0.1649732,0.351470032,0.27248879,25-22-20-12-19,1.218972458,0.312964005,0.585846276,0.456291015
"CTP3-T07: system, classic, number",0.038409956,0.155016737,0.03501843,0.113936858,0.049789666,0.017539022,0.07618289,0.024937897,0.039078144,0.228146383,0.099113405,0.186295995,0.021420119,0.147057539,0.111189583,0.197207119,0.009263965,0.119634908,0.190609043,0.244206484,0.07092123,0.273682223,0.042403887,0.113494655,0.261000026,0.026790447,0.099435918,0.095393294,0.112922188,0.134707603,0.07208522,0.345901764,0.043491241,0.080000329,0.218365208,0.278056251,0.345901764,0.270587376,32-22-25-20-10,1.607711966,0.364932885,0.585846276,0.541936958
"CTP3-T08: system, model, classic",0.073599463,0.117999595,0.034546651,0.088446555,0.120944059,0.107479801,0.074309658,0.067624614,0.074031979,0.200228137,0.158439878,0.204743799,0.074314348,0.110882059,0.094176808,0.212947403,0.01662262,0.274922859,0.182787434,0.234185514,0.089960574,0.325453138,0.056393953,0.246426432,0.24937003,0.125257483,0.067004433,0.08200704,0.137824887,0.117180867,0.130534744,0.297419969,0.044836578,0.09246039,0.213921212,0.296755594,0.325453138,0.278718486,22-32-18-25-24,2.06254549,0.634723154,0.585846276,0.830231552
"CTP3-T09: classic, network, propos",0.12486192,0.131947122,0.020930805,0.103246236,0.134770023,0.023430774,0.096394246,0.084984892,0.034717935,0.11253996,0.168157892,0.304355784,0.094348335,0.146958555,0.135762055,0.205655932,0.011866194,0.137631013,0.230645656,0.29550101,0.175260654,0.44670428,0.065537632,0.10631322,0.345282177,0.064932326,0.057456905,0.096754562,0.086883592,0.163963393,0.119263475,0.307643559,0.056607626,0.088011391,0.138248353,0.244332725,0.35099645,0.339897362,22-25-32-12-20,2.078587804,0.629529281,0.585846276,0.827161298
"CTP3-T10: model, network, challeng",0.080806412,0.114784508,0.034693828,0.115561674,0.081456278,0.020976917,0.049820092,0.037451124,0.031159921,0.147090775,0.122051851,0.212647497,0.047074604,0.134954431,0.120841399,0.168465134,0.021112527,0.223187268,0.260731832,0.334047132,0.082338296,0.194963696,0.038327392,0.270357781,0.36922624,0.005377399,0.108210337,0.13288593,0.181085791,0.112553449,0.116265299,0.165666811,0.04954679,0.062461146,0.150367293,0.228709064,0.351636686,0.291510051,25-20-24-19-18,1.473165482,0.364695471,0.585846276,0.528268637
